timestamp,gyro-alpha,gyro-beta,gyro-gamma,accel-x,accel-y,accel-z
1494172119784,-0.031951904,0.030899048,0.046875,3.1081696,-8.153915,5.0565796
1494172119885,-0.03727722,0.05645752,-0.0053253174,2.686798,-8.09407,4.6926727
1494172119984,-0.015975952,-0.03727722,0.012786865,2.6437073,-8.254471,4.874634
1494172120084,-0.026626587,-0.043670654,0.014907837,2.6604614,-8.091675,4.8889923
1494172120185,-0.007461548,0.0021362305,-0.003189087,2.8543854,-8.11322,4.805191
1494172120285,-0.0063934326,0.017044067,-0.0138549805,2.6891937,-8.153915,4.6878815
1494172120385,0.003189087,0.0063934326,-0.014907837,2.7274933,-8.15152,4.6950684
1494172120484,-0.0021362305,-0.012786865,-0.008529663,2.7466583,-8.1419525,4.745346
1494172120584,0.0021362305,-0.0021362305,-0.008529663,2.7155304,-8.139557,4.7190094
1494172120684,0.014907837,0.004257202,-0.0138549805,2.777771,-8.129974,4.788437
1494172120784,0.015975952,-0.0095825195,-0.014907837,2.7993164,-8.165894,4.714218
1494172120885,0.008529663,0.01171875,-0.012786865,2.8352356,-8.108429,4.7309723
1494172120984,0.008529663,0.004257202,-0.008529663,2.8160858,-8.139557,4.7860413
1494172121085,0.0063934326,-0.0053253174,-0.0095825195,2.8232727,-8.096451,4.716614
1494172121184,0.0053253174,-0.003189087,-0.007461548,2.8519897,-8.115616,4.7836456
1494172121285,0.004257202,-0.012786865,0.004257202,2.8472137,-8.153915,4.740555
1494172121384,-0.003189087,-0.007461548,0.0021362305,2.8711548,-8.127579,4.774063
1494172121485,0.0010681152,-0.0063934326,0.0,2.8112946,-8.096451,4.7860413
1494172121584,-0.003189087,-0.014907837,0.0,2.7873535,-8.106033,4.7716827
1494172121684,-0.01171875,-0.03515625,0.0010681152,2.849594,-8.036606,4.7357635
1494172121785,-0.022369385,0.010650635,-0.020233154,2.8735504,-8.091675,4.812378
1494172121885,-0.014907837,0.03302002,-0.01171875,2.8759308,-8.118011,4.714218
1494172121984,-0.0138549805,0.047943115,-0.0053253174,2.801712,-8.19223,4.6016846
1494172122085,-0.0021362305,0.019180298,0.0138549805,2.8112946,-8.156311,4.6687317
1494172122184,-0.0053253174,-0.010650635,0.02557373,2.6915894,-8.235321,4.6495667
1494172122285,-0.027694702,-0.080963135,0.05645752,2.7083435,-8.19223,4.60408
1494172122384,-0.09587097,-0.11930847,0.07989502,2.796936,-8.292786,4.7477264
1494172122485,-0.07989502,0.0703125,0.01171875,2.8352356,-8.299973,4.319168
1494172122585,-0.052200317,0.07136536,-0.0063934326,2.6317291,-8.32869,4.4628296
1494172122685,-0.038345337,0.0234375,-0.0010681152,2.6460876,-8.32869,4.448456
1494172122784,-0.017044067,0.04473877,-0.0063934326,2.7155304,-8.321518,4.429306
1494172122885,0.019180298,0.020233154,-0.02130127,2.591034,-8.321518,4.386215
1494172122984,-0.008529663,-0.047943115,0.0138549805,2.6915894,-8.417282,4.2186127
1494172123084,-0.010650635,-0.03727722,0.034088135,2.6724243,-8.450806,4.441269
1494172123185,0.0095825195,-0.052200317,-0.003189087,2.83284,-8.381363,4.532257
1494172123284,-0.0010681152,-0.018112183,-0.007461548,2.8280487,-8.3598175,4.4628296
1494172123385,0.01171875,0.07136536,-0.024505615,2.650879,-8.3694,4.2569275
1494172123484,-0.0010681152,0.0021362305,-0.0063934326,2.5694733,-8.38855,4.333542
1494172123585,-0.015975952,-0.017044067,0.0053253174,2.7011566,-8.355026,4.369446
1494172123684,-0.0010681152,-0.003189087,0.008529663,2.7131348,-8.383759,4.319168
1494172123785,0.012786865,-0.010650635,0.0138549805,2.5790558,-8.376587,4.3048096
1494172123884,0.03302002,-0.038345337,0.0095825195,2.6772156,-8.376587,4.309601
1494172123985,0.03727722,-0.047943115,-0.019180298,2.7610168,-8.46756,4.532257
1494172124084,0.036224365,-0.028762817,-0.010650635,2.7011566,-8.381363,4.3000183
1494172124185,0.039413452,-0.015975952,-0.019180298,2.6796112,-8.326294,4.5131073
1494172124284,0.020233154,0.0021362305,-0.0234375,2.8160858,-8.450806,4.3766327
1494172124385,-0.08415222,0.16511536,-0.088409424,2.7682037,-8.24968,4.501129
1494172124484,-0.007461548,0.08203125,-0.05432129,3.0650787,-8.386154,4.307205
1494172124585,0.018112183,0.11824036,-0.01171875,2.7059479,-8.503479,4.223404
1494172124684,-0.022369385,0.012786865,0.024505615,2.5934143,-8.278412,4.44606
1494172124785,0.051132202,-0.018112183,0.04473877,2.7873535,-8.153915,4.4676056
1494172124884,0.08308411,-0.06604004,0.031951904,2.6029968,-8.378967,4.563385
1494172124985,0.0234375,-0.09375,0.038345337,2.7705994,-8.297577,4.7070312
